ImpressionId,LogTimestamp,ProcessedTimestamp,TDID,UID2,PartnerId,AdvertiserId,CampaignId,AdGroupId,CreativeId,BidPriceCPM,WinningBidPriceCPM,MediaCostCPM,DataCostCPM,FeeCostCPM,TotalCostCPM,DeviceType,OS,OSVersion,Browser,BrowserVersion,Country,Region,Metro,SupplyVendor,Site,AppName,AdFormat,AdSize,Fold,DealId,AuctionType,Viewable,Frequency,RecencyMinutes,HourOfDay,DayOfWeek
6186272b-dd85-4131-a5a5-d4a9a4672d49,2024-12-13T02:04:26,2024-12-13T02:05:10,TDID_98E6433DFAA1492C,UID2_6eaf94f34a7040398edb,partner_7421,adv_retail_brand_002,cmp_shopsmart_blackfriday,ag_shopsmart_bl_prospecting_native,cr_ag_shopsmart_bl_prospecting_native_1,7.68,6.17,5.24,0.16,0.1,5.5,Tablet,macOS,12.9,Safari,112.0,DE,,,Magnite,foxnews.com,,Native,1200x627,Unknown,,SecondPrice,False,11,8624,2,4
c5cd9b2f-eb19-4df4-8d4d-e635c92664b9,2024-12-06T13:18:14,2024-12-06T13:18:47,TDID_2D6F421844884EA1,UID2_3e61fdfa7eb24f23bd02,partner_3253,adv_retail_brand_002,cmp_shopsmart_blackfriday,ag_shopsmart_bl_awareness_video,cr_ag_shopsmart_bl_awareness_video_3,10.16,6.86,5.83,0.48,0.12,6.43,Desktop,macOS,12.1,Firefox,99.0,UK,,,Magnite,,BBC News,Video,1280x720,Unknown,,FirstPrice,True,15,2147,13,4
c2c9e3b4-db90-4cd0-a7cf-67c51d6fe7ca,2024-12-04T06:54:36,2024-12-04T06:54:46,TDID_D489E6CD59A7404A,UID2_2093c6c0b0e749d2aecd,partner_8355,adv_tech_brand_001,cmp_tech_product_launch,ag_tech_product_performance_video,cr_ag_tech_product_performance_video_1,9.19,6.69,5.69,0.39,0.2,6.28,Mobile,iOS,13.8,App,97.0,CA,,,Index Exchange,washingtonpost.com,,Video,1920x1080,Above,,SecondPrice,True,5,6256,6,2
f3eee38c-6a43-4589-899b-780d923cec3b,2024-12-11T14:32:05,2024-12-11T14:32:32,TDID_B56A982DDA7E4534,UID2_c3a4bcea8b52482b814f,partner_9452,adv_finance_brand_001,cmp_bank_savings,ag_bank_savings_prospecting_video,cr_ag_bank_savings_prospecting_video_2,12.37,9.5,8.07,0.25,0.19,8.51,Mobile,iOS,11.4,Samsung Internet,92.0,CA,,,PubMatic,foxnews.com,,Video,1920x1080,Below,,FirstPrice,False,2,3637,14,2
bf7a49ee-3b51-4740-b4de-a6aace75fcec,2024-12-07T21:36:06,2024-12-07T21:37:03,TDID_0FE61C6E973E4860,UID2_cb90f4d6435843c6b863,partner_6221,adv_cpg_brand_001,cmp_fresh_holiday,ag_fresh_holida_retargeting_native,cr_ag_fresh_holida_retargeting_native_2,6.22,4.55,3.87,0.25,0.06,4.18,Desktop,macOS,11.5,Chrome,115.0,UK,,,PubMatic,,Weather Channel,Native,1200x627,Above,,SecondPrice,True,3,7685,21,5
b61a5601-801d-4c5d-997f-c3fdda98fa22,2024-12-15T20:55:56,2024-12-15T20:55:57,TDID_64CA9E5FDFA34DCE,UID2_6b7726ae572141a9a51f,partner_8489,adv_travel_brand_003,cmp_flight_holiday,ag_flight_holid_prospecting_video,cr_ag_flight_holid_prospecting_video_1,13.55,9.5,8.07,0.22,0.06,8.35,Mobile,iOS,11.1,App,116.0,US,CA,Phoenix,SpotX,theguardian.com,,Video,1280x720,Unknown,deal_77551,FirstPrice,False,5,7032,20,6
f4e54753-5234-468a-a08c-4365209a6b60,2024-12-15T20:18:17,2024-12-15T20:18:40,TDID_77D1051EFB8D48FE,UID2_f3ee92b3a0514dfdbd96,partner_9914,adv_retail_brand_001,cmp_holiday_promo_2024,ag_holiday_prom_prospecting_display,cr_ag_holiday_prom_prospecting_display_1,4.05,3.38,2.87,0.31,0.1,3.28,SmartTV,Android,10.6,App,117.0,CA,,,SpotX,cnn.com,,Display,300x600,Unknown,,SecondPrice,True,1,5850,20,6
38d45b68-55cd-4f98-8cc2-7f0f6061dbca,2024-11-19T06:42:44,2024-11-19T06:43:07,TDID_009B5B6775334053,UID2_cbc8d2cee4aa454692d5,partner_8612,adv_ent_brand_002,cmp_game_launch,ag_game_launch_performance_display,cr_ag_game_launch_performance_display_4,4.05,3.2,2.72,0.43,0.08,3.23,Desktop,macOS,17.2,Safari,115.0,CA,,,PubMatic,espn.com,,Display,300x250,Unknown,,SecondPrice,True,4,717,6,1
549d9af0-5491-4e86-81a1-c2e4b3aed4fa,2024-11-25T16:23:56,2024-11-25T16:24:53,TDID_68FCF7C6775F4AD0,UID2_f051c6abb3fb40d79d78,partner_6848,adv_cpg_brand_001,cmp_fresh_holiday,ag_fresh_holida_performance_video,cr_ag_fresh_holida_performance_video_1,20.01,15.81,13.44,0.2,0.16,13.8,SmartTV,Android,10.5,App,98.0,US,PA,Phoenix,Magnite,,NBC News,Video,1920x1080,Below,,SecondPrice,False,7,5554,16,0
d9b4e8ea-556d-4029-8356-d23fef210fa1,2024-12-10T02:07:06,2024-12-10T02:07:51,TDID_5E9AA39E73E041F6,UID2_c2b4856ace814befa899,partner_6262,adv_auto_brand_001,cmp_new_model_launch,ag_new_model_la_retargeting_display,cr_ag_new_model_la_retargeting_display_1,8.12,5.1,4.33,0.34,0.17,4.84,Tablet,macOS,11.1,Chrome,100.0,DE,,,Index Exchange,foxnews.com,,Display,160x600,Below,,SecondPrice,True,8,5759,2,1
